question,soru,cevap,countAnswer,percentage
1,Sana ne hatırlatmamı isterdin? :),Su İçme,303891,0.3945
1,Sana ne hatırlatmamı isterdin? :),Uyku,80627,0.1047
1,Sana ne hatırlatmamı isterdin? :),İlaç,50850,0.066
1,Sana ne hatırlatmamı isterdin? :),Tampon-Ped Değiştirme,334930,0.4348
2,Reglin düzenli mi?,Düzenli,206393,0.3832
2,Reglin düzenli mi?,Düzensiz,332265,0.6168
3,Yoğurttan tatlı olur mu?,Mükemmel olur!,136212,0.6208
3,Yoğurttan tatlı olur mu?,Yok canım daha neler!,83218,0.3792
4,"Çok tatlısın, güzelsin, şekerci mi baban senin?",A) Evet ?,217366,0.7412
4,"Çok tatlısın, güzelsin, şekerci mi baban senin?",B) A,75883,0.2588
5,Evcil hayvanın var mı? ? ?,Var :),120818,0.2227
5,Evcil hayvanın var mı? ? ?,Yok :(,421641,0.7773
6,Meme muayeneni ne sıklıkla yapıyorsun?,AYDA BİR,12595,0.064
6,Meme muayeneni ne sıklıkla yapıyorsun?,3 AYDA BİR,2691,0.0137
6,Meme muayeneni ne sıklıkla yapıyorsun?,6 AYDA BİR,25047,0.1273
6,Meme muayeneni ne sıklıkla yapıyorsun?,AKLIMA GELDİKÇE,156378,0.795
7,Aniden tatlı krizine girsen hangisini tercih edersin tatlım?,Ballı Bademli Dondurma,131473,0.3932
7,Aniden tatlı krizine girsen hangisini tercih edersin tatlım?,Elmalı Turta,113905,0.3407
7,Aniden tatlı krizine girsen hangisini tercih edersin tatlım?,Hindistan Cevizli Cupcake,88991,0.2661
8,Senin favori Halley'in hangisi tatlım?,Halley Klasik,93703,0.7432
8,Senin favori Halley'in hangisi tatlım?,Halley Karadutlu,32371,0.2568
10,Hangi spor türünü yapıyorsun tatlım?,Pilates,23780,0.0873
10,Hangi spor türünü yapıyorsun tatlım?,Yoga,7746,0.0284
10,Hangi spor türünü yapıyorsun tatlım?,Fitness,28645,0.1052
10,Hangi spor türünü yapıyorsun tatlım?,Diğer,35838,0.1316
10,Hangi spor türünü yapıyorsun tatlım?,Yapmıyorum,176331,0.6475
12,Sence 30 dakikada 500 kalori yakılır mı?,Evet,97617,0.5914
12,Sence 30 dakikada 500 kalori yakılır mı?,Hayır,67440,0.4086
14,Genellikle kendini nasıl hissediyorsun tatlım?,Yorgun,105281,0.872
14,Genellikle kendini nasıl hissediyorsun tatlım?,Enerjik,15450,0.128
15,Hangi operatörü kullanıyorsun bakalım?,Turkcell,22633,0.2617
15,Hangi operatörü kullanıyorsun bakalım?,Vodafone,30897,0.3572
15,Hangi operatörü kullanıyorsun bakalım?,Türk Telekom,29396,0.3399
15,Hangi operatörü kullanıyorsun bakalım?,Diğer,3566,0.0412
19,Senin favorin hangisi?,Sahilde kitap okumak,1117,0.2971
19,Senin favorin hangisi?,Evde film izlemek,1286,0.342
19,Senin favorin hangisi?,Arkadaşlarla sohbet etmek,1357,0.3609
20,Doğum kontrol ilacı kullanıyor musun?,Evet,11435,0.0431
20,Doğum kontrol ilacı kullanıyor musun?,Hayır,254123,0.9569
21,Tıraş bıçağı kullanmanın en güzel özelliği nedir sence?,Acısız ve zahmetsiz olması,125833,0.6661
21,Tıraş bıçağı kullanmanın en güzel özelliği nedir sence?,5 dakikada pürüzsüzlüğe kavuşma,63065,0.3339
22,Her gün doğum haritana göre burç yorumları ve astro tavsiyeler almak ister misin?,Evet,114081,0.8021
22,Her gün doğum haritana göre burç yorumları ve astro tavsiyeler almak ister misin?,Hayır,28145,0.1979
23,Sen neden tıraş olmayı seçiyorsun?,"Pratik, zahmetsiz ve konforlu",124671,0.9299
23,Sen neden tıraş olmayı seçiyorsun?,Tüyleri kalınlaştırmaz ve sertleştirmez,9395,0.0701
24,"Her gün film, şarkı, kitap tavsiyeleri ve genel kültür bilgileri almak ister misin?",Evet,53697,0.7634
24,"Her gün film, şarkı, kitap tavsiyeleri ve genel kültür bilgileri almak ister misin?",Hayır,16641,0.2366
25,Hamilelikte gıda takviyesi kullanımı hakkında ne düşünüyorsun?,Kesinlikle gerekli!,15984,0.1465
25,Hamilelikte gıda takviyesi kullanımı hakkında ne düşünüyorsun?,Pek bir fikrim yok.,46680,0.4278
25,Hamilelikte gıda takviyesi kullanımı hakkında ne düşünüyorsun?,Doktor tavsiyesi dışında kullanmam.,27532,0.2523
25,Hamilelikte gıda takviyesi kullanımı hakkında ne düşünüyorsun?,Meyve ve sebze tüketmeyi tercih ederim.,18924,0.1734
26,Her gün en trend markalardan indirim fırsatları ve çok özel avantajlar ister misin?,Evet,10969,0.4515
26,Her gün en trend markalardan indirim fırsatları ve çok özel avantajlar ister misin?,Hayır,13324,0.5485
27,Bugün kendini nasıl hissediyorsun?,Enerjik,21395,0.1455
27,Bugün kendini nasıl hissediyorsun?,Yorgun,125617,0.8545
28,Regl günlerinde de sporuna devam ediyor musun?,Evet,17822,0.2129
28,Regl günlerinde de sporuna devam ediyor musun?,Hayır,65882,0.7871
29,"Sence ""egzama"" hakkında hangisi doğru?",İnternet ve TV'deki çözümleri denemek,169,0.0074
29,"Sence ""egzama"" hakkında hangisi doğru?",Başkasının memnun kaldığı bir ilacı kullanmak,201,0.0088
29,"Sence ""egzama"" hakkında hangisi doğru?",Bir doktora danışmak,19727,0.8651
29,"Sence ""egzama"" hakkında hangisi doğru?",Doğal yolla tedavileri denemek,2707,0.1187
30,Senin yerine kalori takibini yapacak bir asistan ister misin?,EVEET!,90588,0.7545
30,Senin yerine kalori takibini yapacak bir asistan ister misin?,ÇOK İSTERİM!,29473,0.2455
32,Onca regl takvimi arasından neden ben? ?,Seninle reglimi takip etmek çok keyifli.,673,0.8606
32,Onca regl takvimi arasından neden ben? ?,Desteğin ve bilgin ile hamileliğe hazırlanıyorum.,109,0.1394
33,Onca regl takvimi arasından neden ben? ?,Seninle reglimi takip etmek çok keyifli.,577904,0.8879
33,Onca regl takvimi arasından neden ben? ?,Desteğin ve bilgin ile hamileliğe hazırlanıyorum.,72929,0.1121
31,Hamile kalmak için aşağıdakilerden hangisinin çok önemli olduğunu düşünüyorsun?,Vücut sağlığının yerinde olması,149687,0.4223
31,Hamile kalmak için aşağıdakilerden hangisinin çok önemli olduğunu düşünüyorsun?,Beslenme tarzının dengeli ve yeterli olması,72020,0.2032
31,Hamile kalmak için aşağıdakilerden hangisinin çok önemli olduğunu düşünüyorsun?,Yaşam tarzının kaliteli olması,76903,0.217
31,Hamile kalmak için aşağıdakilerden hangisinin çok önemli olduğunu düşünüyorsun?,Hekim tavsiyeleri,55859,0.1576
34,Kimler bütün gün bilgisayarın başında ve boyun ağrısı çekiyor?,BEN!,51673,0.4916
34,Kimler bütün gün bilgisayarın başında ve boyun ağrısı çekiyor?,BEEEEN!,53439,0.5084
35,Sana da su içsen yarıyor mu?,"Evet, maalesef :(",242,0.6253
35,Sana da su içsen yarıyor mu?,"Hayır, fit biriyimdir.",145,0.3747
36,Sana da su içsen yarıyor mu?,"Evet, maalesef :(",100,0.6494
36,Sana da su içsen yarıyor mu?,"Hayır, fit biriyimdir.",54,0.3506
37,Sana da su içsen yarıyor mu?,"Evet, maalesef :(",96,0.64
37,Sana da su içsen yarıyor mu?,"Hayır, fit biriyimdir.",54,0.36
38,Sana da su içsen yarıyor mu?,"Evet, maalesef :(",122,0.6193
38,Sana da su içsen yarıyor mu?,"Hayır, fit biriyimdir.",75,0.3807
39,Sana da su içsen yarıyor mu?,"Evet, maalesef :(",3635,0.9945
39,Sana da su içsen yarıyor mu?,"Hayır, fit biriyimdir.",20,0.0055
40,Sana da su içsen yarıyor mu?,"Evet, maalesef :(",77880,0.6346
40,Sana da su içsen yarıyor mu?,"Hayır, fit biriyimdir.",44838,0.3654
41,Hangi pedi kullanıyorsun?,Kotex,26,0.4333
41,Hangi pedi kullanıyorsun?,Sleepy,6,0.1
41,Hangi pedi kullanıyorsun?,Molped,9,0.15
41,Hangi pedi kullanıyorsun?,Orkid,16,0.2667
41,Hangi pedi kullanıyorsun?,Diğer,3,0.05
42,"Hareketli günlerde, ve hatta spor yaparken rahatlıkla kullanabileceğin Kotex Active’i denedin mi?",Hayır,7,0.7778
42,"Hareketli günlerde, ve hatta spor yaparken rahatlıkla kullanabileceğin Kotex Active’i denedin mi?",evet,2,0.2222
