,question_id,title
0,1,Sana ne hatırlatmamı isterdin? :)
1,2,Reglin düzenli mi?
2,3,Yoğurttan tatlı olur mu?
3,4,"Çok tatlısın, güzelsin, şekerci mi baban senin?"
4,5,Evcil hayvanın var mı? ? ?
5,6,Meme muayeneni ne sıklıkla yapıyorsun?
6,7,Aniden tatlı krizine girsen hangisini tercih edersin tatlım?
7,8,Senin favori Halley'in hangisi tatlım?
8,10,Hangi spor türünü yapıyorsun tatlım?
9,12,Sence 30 dakikada 500 kalori yakılır mı?
10,14,Genellikle kendini nasıl hissediyorsun tatlım?
11,15,Hangi operatörü kullanıyorsun bakalım?
12,16,X O X O X O O X ?
13,17,Senin favorin hangisi?
14,18,Senin favorin hangisi?
15,19,Senin favorin hangisi?
16,20,Doğum kontrol ilacı kullanıyor musun?
17,21,Tıraş bıçağı kullanmanın en güzel özelliği nedir sence?
18,22,Her gün doğum haritana göre burç yorumları ve astro tavsiyeler almak ister misin?
19,23,Sen neden tıraş olmayı seçiyorsun?
20,24,"Her gün film, şarkı, kitap tavsiyeleri ve genel kültür bilgileri almak ister misin?"
21,25,Hamilelikte gıda takviyesi kullanımı hakkında ne düşünüyorsun?
22,26,Her gün en trend markalardan indirim fırsatları ve çok özel avantajlar ister misin?
23,27,Bugün kendini nasıl hissediyorsun?
24,28,Regl günlerinde de sporuna devam ediyor musun?
25,29,"Sence ""egzama"" hakkında hangisi doğru?"
26,30,Senin yerine kalori takibini yapacak bir asistan ister misin?
27,31,Hamile kalmak için aşağıdakilerden hangisinin çok önemli olduğunu düşünüyorsun?
28,32,Onca regl takvimi arasından neden ben? ?
29,33,Onca regl takvimi arasından neden ben? ?
30,34,Kimler bütün gün bilgisayarın başında ve boyun ağrısı çekiyor?
31,35,Sana da su içsen yarıyor mu?
32,36,Sana da su içsen yarıyor mu?
33,37,Sana da su içsen yarıyor mu?
34,38,Sana da su içsen yarıyor mu?
35,39,Sana da su içsen yarıyor mu?
36,40,Sana da su içsen yarıyor mu?
37,41,Hangi pedi kullanıyorsun?
38,42,"Hareketli günlerde, ve hatta spor yaparken rahatlıkla kullanabileceğin Kotex Active’i denedin mi?"
39,43,Hangi pedi kullanıyorsun?
40,44,Sence hamile kalmak için aşağıdakilerden hangisi en önemlisi?
41,45,Sence hamile kalmak için aşağıdakilerden hangisi en önemlisi?
42,46,Sence hamile kalmak için aşağıdakilerden hangisi en önemlisi?
43,47,Sence hamile kalmak için aşağıdakilerden hangisi en önemlisi?
44,48,"Hareketli günlerde, ve hatta spor yaparken rahatlıkla kullanabileceğin Kotex Active’i denedin mi?"
45,49,"Hareketli günlerde, ve hatta spor yaparken rahatlıkla kullanabileceğin Kotex Active’i denedin mi ?"
46,50,"Hareketli günlerde, ve hatta spor yaparken rahatlıkla kullanabileceğin Kotex Active’i denedin mi?"
47,51,Onca regl takvimi arasından neden ben? ?
48,52,Sence Türkiye’nin en uzun ve en geniş gece pedi hangisidir?
49,53,Hangi gece pedini kullanıyorsun?
50,54,Hangi konuyla ilgili daha çok tavsiye vermemi istersin?
51,55,Yaz ayları boyunca regl döneminde hangisini kullanmayı tercih ediyorsun?
52,56,PepStore'un eğlenceli ve heyecanlı dünyasına katıldın mı tatlım?
53,57,She sembolü bir ped olsa markası ne olurdu?  ♀
54,58,"Dişilik sembolü ♀ bir ped olsa, markası ne olurdu sence?"
55,59,En sevdiğin renk hangisi
56,60,Arkadaşa ihtiyaç duyanların omzuna yaslandığı kişiyim.
57,61,Arkadaşa ihtiyaç duyanların omzuna yaslandığı kişiyim.
58,62,Arkadaşa ihtiyaç duyanların omzuna yaslandığı kişiyim.
59,63,Bir tartışmada hemen teslim olmayı reddederim.
60,64,Bence iyi bir film tek başına izlenmeli.
61,65,Başkalarının benim hakkımda ne düşündüklerini pek önemsemem.
62,66,Son derece pratik bir insanımdır.
63,67,Belirsizlik bana heyecan veriyor.
64,68,Hayatın müthiş bir gizem olduğunu düşünüyorum
65,69,Seninle aramızdaki bir gizemi daha çözelim diyorum; eğitim durumun nedir?
66,70,Seninle aramızdaki bir gizemi daha çözelim diyorum; eğitim durumun nedir?
67,71,Herkes için söylenebilecek güzel bir sözüm vardır.
68,72,Oldukça hassas bir insanım.
69,73,Bana göre düzensiz olmak bir kusurdur.
70,74,Dikkatim çok kolay dağılır.
71,75,Moda ikonu olmak benim için önemli bir şey.
72,76,Alışverişte en önemli kriterim şudur: Popüler ve prestijli markaları satın almak.
73,77,Moda değiştikçe gardırobum da değişir.
74,78,Benim için gerçekler her zaman duygulardan önemlidir.
75,79,Genellikle en düşük fiyatlı ürünleri tercih ederim.
76,80,Stres altında bile çalışmaya devam edebilirim.
77,81,"Bu arada çalışmak demişken, sen çalışıyor musun?"
78,82,"Bu arada çalışmak demişken, sen çalışıyor musun?"
79,83,Deodorant kullanıyor musun tatlım?
80,84,Satın almaya doyamadığım favori markalarım var.
81,85,Son teknoloji ürünler için para harcamayı seven biriyim.
82,86,"Piyango, loto, kazı kazan gibi şans oyunlarına mutlaka para ayırırım."
83,87,Her durumda soğukkanlı olan kazanır.
84,88,Moda trendleri benden kaçmaz.
85,89,"Bir şeyler satın almayı önemsemem, aldığım şeyler üzerinde fazla düşünmem."
86,90,"Hızlı alışveriş yapar, yeterince iyi bulduğum ilk şeyi hemen alırım."
87,91,Bir ürün ne kadar pahalıysa o kadar kalitelidir.
88,92,Son sezon ürünlerden en az bir tane kıyafetim olur.
89,93,Bugün Nasılsın?
90,94,Black Friday'de hangi kategorideki indirimler ve kampanyalar seni daha çok heyecanlandırır?
91,95,"Kelebek bir günlük ped olsa, markası ne olurdu sence?"
92,96,"Tüm regl dönemini tek bir ped ile geçirecek olsan, aşağıdakilerden hangisini seçerdin?"
93,97,Hangi konularla ilgili daha çok tavsiye vermemi istersin?
94,98,Aşağıdaki ped markalarından hangisinin tasarımını daha çok beğeniyorsun?
95,99,İyi bir gün geceden başlar. Regl döneminde kesintisiz bir gece uykusu için en yakın arkadaşın kim olurdu?
96,100,Sağlığın için bu çok önemli: Düzenli hareket ediyor musun tatlım?
97,101,Spor yapmaya üşenip evde neler yapabilirim diyenlerden misin?
98,102,Hijyenik ped seçimini en çok hangisi etkiliyor? (Bu soruya birden fazla cevap verebilirsin.)
99,103,Regl döneminde huzursuz uyurum çünkü...
100,104,Regl dönemlerinde geceleri rahat uyumak için hangisi ilk tercihin olur?
101,105,"Tatlım, gün içinde telefonuna gönderdiğim bildirimler hakkındaki fikrini benimle paylaşır mısın?"
102,106,Doğum kontrol hapını hangi amaçla kullanıyorsun? (Birden fazla şık seçebilirsin.)
103,107,"Çevrendeki insanlara Pepapp’ı tavsiye eder misin? 1’den 5’e sevgi yükseliyor, seç birini bakalım!"
